clean_read_id,label,genus,species,template_start,template_end
Acinetobacter_calcoaceticus_L150_R0017,Acinetobacter_calcoaceticus,Acinetobacter,Acinetobacter calcoaceticus,54713,54863
Acinetobacter_calcoaceticus_L150_R0021,Acinetobacter_calcoaceticus,Acinetobacter,Acinetobacter calcoaceticus,81810,81960
Acinetobacter_calcoaceticus_L150_R0024,Acinetobacter_calcoaceticus,Acinetobacter,Acinetobacter calcoaceticus,268829,268979
Acinetobacter_calcoaceticus_L150_R0025,Acinetobacter_calcoaceticus,Acinetobacter,Acinetobacter calcoaceticus,487143,487293
Acinetobacter_calcoaceticus_L150_R0032,Acinetobacter_calcoaceticus,Acinetobacter,Acinetobacter calcoaceticus,46853,47003
Acinetobacter_calcoaceticus_L150_R0038,Acinetobacter_calcoaceticus,Acinetobacter,Acinetobacter calcoaceticus,307766,307916
Acinetobacter_calcoaceticus_L150_R0039,Acinetobacter_calcoaceticus,Acinetobacter,Acinetobacter calcoaceticus,305344,305494
Acinetobacter_calcoaceticus_L150_R0040,Acinetobacter_calcoaceticus,Acinetobacter,Acinetobacter calcoaceticus,292600,292750
Acinetobacter_calcoaceticus_L150_R0043,Acinetobacter_calcoaceticus,Acinetobacter,Acinetobacter calcoaceticus,428633,428783
Acinetobacter_calcoaceticus_L150_R0045,Acinetobacter_calcoaceticus,Acinetobacter,Acinetobacter calcoaceticus,159735,159885
Acinetobacter_calcoaceticus_L150_R0051,Acinetobacter_calcoaceticus,Acinetobacter,Acinetobacter calcoaceticus,51683,51833
Acinetobacter_calcoaceticus_L150_R0052,Acinetobacter_calcoaceticus,Acinetobacter,Acinetobacter calcoaceticus,46819,46969
Acinetobacter_calcoaceticus_L150_R0059,Acinetobacter_calcoaceticus,Acinetobacter,Acinetobacter calcoaceticus,488442,488592
Acinetobacter_calcoaceticus_L150_R0068,Acinetobacter_calcoaceticus,Acinetobacter,Acinetobacter calcoaceticus,489579,489729
Acinetobacter_calcoaceticus_L150_R0069,Acinetobacter_calcoaceticus,Acinetobacter,Acinetobacter calcoaceticus,483172,483322
Acinetobacter_calcoaceticus_L150_R0070,Acinetobacter_calcoaceticus,Acinetobacter,Acinetobacter calcoaceticus,250115,250265
Acinetobacter_nosocomialis_L150_R0001,Acinetobacter_nosocomialis,Acinetobacter,Acinetobacter nosocomialis,290543,290693
Acinetobacter_nosocomialis_L150_R0002,Acinetobacter_nosocomialis,Acinetobacter,Acinetobacter nosocomialis,299924,300074
Acinetobacter_nosocomialis_L150_R0004,Acinetobacter_nosocomialis,Acinetobacter,Acinetobacter nosocomialis,389912,390062
Acinetobacter_nosocomialis_L150_R0006,Acinetobacter_nosocomialis,Acinetobacter,Acinetobacter nosocomialis,153254,153404
Acinetobacter_nosocomialis_L150_R0007,Acinetobacter_nosocomialis,Acinetobacter,Acinetobacter nosocomialis,51047,51197
Acinetobacter_nosocomialis_L150_R0009,Acinetobacter_nosocomialis,Acinetobacter,Acinetobacter nosocomialis,484470,484620
Acinetobacter_nosocomialis_L150_R0011,Acinetobacter_nosocomialis,Acinetobacter,Acinetobacter nosocomialis,31799,31949
Acinetobacter_nosocomialis_L150_R0015,Acinetobacter_nosocomialis,Acinetobacter,Acinetobacter nosocomialis,348090,348240
Acinetobacter_nosocomialis_L150_R0017,Acinetobacter_nosocomialis,Acinetobacter,Acinetobacter nosocomialis,54108,54258
Acinetobacter_nosocomialis_L150_R0037,Acinetobacter_nosocomialis,Acinetobacter,Acinetobacter nosocomialis,135411,135561
Acinetobacter_nosocomialis_L150_R0043,Acinetobacter_nosocomialis,Acinetobacter,Acinetobacter nosocomialis,490843,490993
Acinetobacter_nosocomialis_L150_R0046,Acinetobacter_nosocomialis,Acinetobacter,Acinetobacter nosocomialis,142889,143039
Acinetobacter_nosocomialis_L150_R0048,Acinetobacter_nosocomialis,Acinetobacter,Acinetobacter nosocomialis,205911,206061
Acinetobacter_nosocomialis_L150_R0049,Acinetobacter_nosocomialis,Acinetobacter,Acinetobacter nosocomialis,98060,98210
Acinetobacter_nosocomialis_L150_R0051,Acinetobacter_nosocomialis,Acinetobacter,Acinetobacter nosocomialis,103547,103697
Acinetobacter_nosocomialis_L150_R0056,Acinetobacter_nosocomialis,Acinetobacter,Acinetobacter nosocomialis,95458,95608
Acinetobacter_nosocomialis_L150_R0058,Acinetobacter_nosocomialis,Acinetobacter,Acinetobacter nosocomialis,359370,359520
Acinetobacter_nosocomialis_L150_R0060,Acinetobacter_nosocomialis,Acinetobacter,Acinetobacter nosocomialis,397320,397470
Acinetobacter_nosocomialis_L150_R0061,Acinetobacter_nosocomialis,Acinetobacter,Acinetobacter nosocomialis,329968,330118
Acinetobacter_nosocomialis_L150_R0076,Acinetobacter_nosocomialis,Acinetobacter,Acinetobacter nosocomialis,485542,485692
Acinetobacter_pittii_L150_R0010,Acinetobacter_pittii,Acinetobacter,Acinetobacter pittii,376792,376942
Acinetobacter_pittii_L150_R0014,Acinetobacter_pittii,Acinetobacter,Acinetobacter pittii,58482,58632
Acinetobacter_pittii_L150_R0020,Acinetobacter_pittii,Acinetobacter,Acinetobacter pittii,275969,276119
Acinetobacter_pittii_L150_R0023,Acinetobacter_pittii,Acinetobacter,Acinetobacter pittii,261308,261458
Acinetobacter_pittii_L150_R0026,Acinetobacter_pittii,Acinetobacter,Acinetobacter pittii,360359,360509
Acinetobacter_pittii_L150_R0027,Acinetobacter_pittii,Acinetobacter,Acinetobacter pittii,229658,229808
Acinetobacter_pittii_L150_R0030,Acinetobacter_pittii,Acinetobacter,Acinetobacter pittii,151415,151565
Acinetobacter_pittii_L150_R0031,Acinetobacter_pittii,Acinetobacter,Acinetobacter pittii,340834,340984
Acinetobacter_pittii_L150_R0032,Acinetobacter_pittii,Acinetobacter,Acinetobacter pittii,222044,222194
Acinetobacter_pittii_L150_R0036,Acinetobacter_pittii,Acinetobacter,Acinetobacter pittii,244918,245068
Acinetobacter_pittii_L150_R0040,Acinetobacter_pittii,Acinetobacter,Acinetobacter pittii,197209,197359
Acinetobacter_pittii_L150_R0043,Acinetobacter_pittii,Acinetobacter,Acinetobacter pittii,445876,446026
Acinetobacter_pittii_L150_R0047,Acinetobacter_pittii,Acinetobacter,Acinetobacter pittii,408466,408616
Acinetobacter_pittii_L150_R0056,Acinetobacter_pittii,Acinetobacter,Acinetobacter pittii,481042,481192
Acinetobacter_pittii_L150_R0061,Acinetobacter_pittii,Acinetobacter,Acinetobacter pittii,308454,308604
Acinetobacter_pittii_L150_R0062,Acinetobacter_pittii,Acinetobacter,Acinetobacter pittii,283166,283316
Acinetobacter_pittii_L150_R0069,Acinetobacter_pittii,Acinetobacter,Acinetobacter pittii,458287,458437
Acinetobacter_pittii_L150_R0073,Acinetobacter_pittii,Acinetobacter,Acinetobacter pittii,161710,161860
Acinetobacter_pittii_L150_R0074,Acinetobacter_pittii,Acinetobacter,Acinetobacter pittii,36881,37031
Acinetobacter_pittii_L150_R0075,Acinetobacter_pittii,Acinetobacter,Acinetobacter pittii,339174,339324
Burkholderia_cenocepacia_L150_R0004,Burkholderia_cenocepacia,Burkholderia,Burkholderia cenocepacia,96934,97084
Burkholderia_cenocepacia_L150_R0006,Burkholderia_cenocepacia,Burkholderia,Burkholderia cenocepacia,63807,63957
Burkholderia_cenocepacia_L150_R0009,Burkholderia_cenocepacia,Burkholderia,Burkholderia cenocepacia,405722,405872
Burkholderia_cenocepacia_L150_R0024,Burkholderia_cenocepacia,Burkholderia,Burkholderia cenocepacia,386091,386241
Burkholderia_cenocepacia_L150_R0030,Burkholderia_cenocepacia,Burkholderia,Burkholderia cenocepacia,333208,333358
Burkholderia_cenocepacia_L150_R0031,Burkholderia_cenocepacia,Burkholderia,Burkholderia cenocepacia,360658,360808
Burkholderia_cenocepacia_L150_R0037,Burkholderia_cenocepacia,Burkholderia,Burkholderia cenocepacia,123387,123537
Burkholderia_cenocepacia_L150_R0039,Burkholderia_cenocepacia,Burkholderia,Burkholderia cenocepacia,482508,482658
Burkholderia_cenocepacia_L150_R0042,Burkholderia_cenocepacia,Burkholderia,Burkholderia cenocepacia,405019,405169
Burkholderia_cenocepacia_L150_R0044,Burkholderia_cenocepacia,Burkholderia,Burkholderia cenocepacia,150523,150673
Burkholderia_cenocepacia_L150_R0045,Burkholderia_cenocepacia,Burkholderia,Burkholderia cenocepacia,468079,468229
Burkholderia_cenocepacia_L150_R0049,Burkholderia_cenocepacia,Burkholderia,Burkholderia cenocepacia,167915,168065
Burkholderia_cenocepacia_L150_R0051,Burkholderia_cenocepacia,Burkholderia,Burkholderia cenocepacia,361875,362025
Burkholderia_cenocepacia_L150_R0052,Burkholderia_cenocepacia,Burkholderia,Burkholderia cenocepacia,51179,51329
Burkholderia_cenocepacia_L150_R0056,Burkholderia_cenocepacia,Burkholderia,Burkholderia cenocepacia,318492,318642
Burkholderia_cenocepacia_L150_R0057,Burkholderia_cenocepacia,Burkholderia,Burkholderia cenocepacia,113904,114054
Burkholderia_cenocepacia_L150_R0065,Burkholderia_cenocepacia,Burkholderia,Burkholderia cenocepacia,103880,104030
Burkholderia_cenocepacia_L150_R0069,Burkholderia_cenocepacia,Burkholderia,Burkholderia cenocepacia,413376,413526
Burkholderia_cenocepacia_L150_R0072,Burkholderia_cenocepacia,Burkholderia,Burkholderia cenocepacia,224906,225056
Burkholderia_cenocepacia_L150_R0078,Burkholderia_cenocepacia,Burkholderia,Burkholderia cenocepacia,43107,43257
Burkholderia_cepacia_L150_R0000,Burkholderia_cepacia,Burkholderia,Burkholderia cepacia,441043,441193
Burkholderia_cepacia_L150_R0003,Burkholderia_cepacia,Burkholderia,Burkholderia cepacia,326452,326602
Burkholderia_cepacia_L150_R0005,Burkholderia_cepacia,Burkholderia,Burkholderia cepacia,37421,37571
Burkholderia_cepacia_L150_R0009,Burkholderia_cepacia,Burkholderia,Burkholderia cepacia,312030,312180
Burkholderia_cepacia_L150_R0010,Burkholderia_cepacia,Burkholderia,Burkholderia cepacia,276445,276595
Burkholderia_cepacia_L150_R0021,Burkholderia_cepacia,Burkholderia,Burkholderia cepacia,326526,326676
Burkholderia_cepacia_L150_R0034,Burkholderia_cepacia,Burkholderia,Burkholderia cepacia,171547,171697
Burkholderia_cepacia_L150_R0038,Burkholderia_cepacia,Burkholderia,Burkholderia cepacia,110941,111091
Burkholderia_cepacia_L150_R0043,Burkholderia_cepacia,Burkholderia,Burkholderia cepacia,313943,314093
Burkholderia_cepacia_L150_R0046,Burkholderia_cepacia,Burkholderia,Burkholderia cepacia,366680,366830
Burkholderia_cepacia_L150_R0048,Burkholderia_cepacia,Burkholderia,Burkholderia cepacia,191723,191873
Burkholderia_cepacia_L150_R0049,Burkholderia_cepacia,Burkholderia,Burkholderia cepacia,352371,352521
Burkholderia_cepacia_L150_R0052,Burkholderia_cepacia,Burkholderia,Burkholderia cepacia,318511,318661
Burkholderia_cepacia_L150_R0053,Burkholderia_cepacia,Burkholderia,Burkholderia cepacia,226421,226571
Burkholderia_cepacia_L150_R0055,Burkholderia_cepacia,Burkholderia,Burkholderia cepacia,66213,66363
Burkholderia_cepacia_L150_R0058,Burkholderia_cepacia,Burkholderia,Burkholderia cepacia,484944,485094
Burkholderia_cepacia_L150_R0060,Burkholderia_cepacia,Burkholderia,Burkholderia cepacia,140026,140176
Burkholderia_cepacia_L150_R0067,Burkholderia_cepacia,Burkholderia,Burkholderia cepacia,498321,498471
Burkholderia_cepacia_L150_R0068,Burkholderia_cepacia,Burkholderia,Burkholderia cepacia,428886,429036
Burkholderia_cepacia_L150_R0075,Burkholderia_cepacia,Burkholderia,Burkholderia cepacia,368445,368595
Burkholderia_multivorans_L150_R0003,Burkholderia_multivorans,Burkholderia,Burkholderia multivorans,196885,197035
Burkholderia_multivorans_L150_R0008,Burkholderia_multivorans,Burkholderia,Burkholderia multivorans,205740,205890
Burkholderia_multivorans_L150_R0020,Burkholderia_multivorans,Burkholderia,Burkholderia multivorans,474942,475092
Burkholderia_multivorans_L150_R0025,Burkholderia_multivorans,Burkholderia,Burkholderia multivorans,212938,213088
Burkholderia_multivorans_L150_R0031,Burkholderia_multivorans,Burkholderia,Burkholderia multivorans,466046,466196
Burkholderia_multivorans_L150_R0032,Burkholderia_multivorans,Burkholderia,Burkholderia multivorans,142990,143140
Burkholderia_multivorans_L150_R0033,Burkholderia_multivorans,Burkholderia,Burkholderia multivorans,415955,416105
Burkholderia_multivorans_L150_R0034,Burkholderia_multivorans,Burkholderia,Burkholderia multivorans,147578,147728
Burkholderia_multivorans_L150_R0037,Burkholderia_multivorans,Burkholderia,Burkholderia multivorans,47494,47644
Burkholderia_multivorans_L150_R0041,Burkholderia_multivorans,Burkholderia,Burkholderia multivorans,259384,259534
Burkholderia_multivorans_L150_R0045,Burkholderia_multivorans,Burkholderia,Burkholderia multivorans,162734,162884
Burkholderia_multivorans_L150_R0047,Burkholderia_multivorans,Burkholderia,Burkholderia multivorans,425314,425464
Burkholderia_multivorans_L150_R0048,Burkholderia_multivorans,Burkholderia,Burkholderia multivorans,9708,9858
Burkholderia_multivorans_L150_R0052,Burkholderia_multivorans,Burkholderia,Burkholderia multivorans,322334,322484
Burkholderia_multivorans_L150_R0054,Burkholderia_multivorans,Burkholderia,Burkholderia multivorans,444203,444353
Burkholderia_multivorans_L150_R0056,Burkholderia_multivorans,Burkholderia,Burkholderia multivorans,383777,383927
Burkholderia_multivorans_L150_R0060,Burkholderia_multivorans,Burkholderia,Burkholderia multivorans,114660,114810
Burkholderia_multivorans_L150_R0062,Burkholderia_multivorans,Burkholderia,Burkholderia multivorans,296370,296520
Burkholderia_multivorans_L150_R0066,Burkholderia_multivorans,Burkholderia,Burkholderia multivorans,69135,69285
Burkholderia_multivorans_L150_R0071,Burkholderia_multivorans,Burkholderia,Burkholderia multivorans,349571,349721
Candida_albicans_L150_R0006,Candida_albicans,Candida,Candida albicans,344767,344917
Candida_albicans_L150_R0008,Candida_albicans,Candida,Candida albicans,253659,253809
Candida_albicans_L150_R0012,Candida_albicans,Candida,Candida albicans,495258,495408
Candida_albicans_L150_R0014,Candida_albicans,Candida,Candida albicans,257446,257596
Candida_albicans_L150_R0023,Candida_albicans,Candida,Candida albicans,390551,390701
Candida_albicans_L150_R0024,Candida_albicans,Candida,Candida albicans,135720,135870
Candida_albicans_L150_R0027,Candida_albicans,Candida,Candida albicans,209062,209212
Candida_albicans_L150_R0035,Candida_albicans,Candida,Candida albicans,318181,318331
Candida_albicans_L150_R0036,Candida_albicans,Candida,Candida albicans,452938,453088
Candida_albicans_L150_R0037,Candida_albicans,Candida,Candida albicans,67616,67766
Candida_albicans_L150_R0038,Candida_albicans,Candida,Candida albicans,3233,3383
Candida_albicans_L150_R0042,Candida_albicans,Candida,Candida albicans,184457,184607
Candida_albicans_L150_R0056,Candida_albicans,Candida,Candida albicans,12224,12374
Candida_albicans_L150_R0057,Candida_albicans,Candida,Candida albicans,331107,331257
Candida_albicans_L150_R0060,Candida_albicans,Candida,Candida albicans,250813,250963
Candida_albicans_L150_R0062,Candida_albicans,Candida,Candida albicans,169616,169766
Candida_albicans_L150_R0070,Candida_albicans,Candida,Candida albicans,181965,182115
Candida_albicans_L150_R0071,Candida_albicans,Candida,Candida albicans,296139,296289
Candida_albicans_L150_R0077,Candida_albicans,Candida,Candida albicans,254672,254822
Candida_albicans_L150_R0079,Candida_albicans,Candida,Candida albicans,422061,422211
Candida_dubliniensis_L150_R0006,Candida_dubliniensis,Candida,Candida dubliniensis,107938,108088
Candida_dubliniensis_L150_R0011,Candida_dubliniensis,Candida,Candida dubliniensis,366,516
Candida_dubliniensis_L150_R0012,Candida_dubliniensis,Candida,Candida dubliniensis,380338,380488
Candida_dubliniensis_L150_R0021,Candida_dubliniensis,Candida,Candida dubliniensis,390868,391018
Candida_dubliniensis_L150_R0024,Candida_dubliniensis,Candida,Candida dubliniensis,66257,66407
Candida_dubliniensis_L150_R0027,Candida_dubliniensis,Candida,Candida dubliniensis,304436,304586
Candida_dubliniensis_L150_R0031,Candida_dubliniensis,Candida,Candida dubliniensis,289912,290062
Candida_dubliniensis_L150_R0034,Candida_dubliniensis,Candida,Candida dubliniensis,338462,338612
Candida_dubliniensis_L150_R0035,Candida_dubliniensis,Candida,Candida dubliniensis,246924,247074
Candida_dubliniensis_L150_R0040,Candida_dubliniensis,Candida,Candida dubliniensis,367010,367160
Candida_dubliniensis_L150_R0049,Candida_dubliniensis,Candida,Candida dubliniensis,112458,112608
Candida_dubliniensis_L150_R0063,Candida_dubliniensis,Candida,Candida dubliniensis,412144,412294
Candida_dubliniensis_L150_R0065,Candida_dubliniensis,Candida,Candida dubliniensis,161766,161916
Candida_dubliniensis_L150_R0066,Candida_dubliniensis,Candida,Candida dubliniensis,210241,210391
Candida_dubliniensis_L150_R0067,Candida_dubliniensis,Candida,Candida dubliniensis,492057,492207
Candida_dubliniensis_L150_R0072,Candida_dubliniensis,Candida,Candida dubliniensis,244384,244534
Candida_dubliniensis_L150_R0073,Candida_dubliniensis,Candida,Candida dubliniensis,435291,435441
Candida_dubliniensis_L150_R0075,Candida_dubliniensis,Candida,Candida dubliniensis,352906,353056
Candida_dubliniensis_L150_R0077,Candida_dubliniensis,Candida,Candida dubliniensis,214010,214160
Candida_dubliniensis_L150_R0078,Candida_dubliniensis,Candida,Candida dubliniensis,30854,31004
Candida_parapsilosis_L150_R0001,Candida_parapsilosis,Candida,Candida parapsilosis,413914,414064
Candida_parapsilosis_L150_R0004,Candida_parapsilosis,Candida,Candida parapsilosis,264233,264383
Candida_parapsilosis_L150_R0007,Candida_parapsilosis,Candida,Candida parapsilosis,229762,229912
Candida_parapsilosis_L150_R0010,Candida_parapsilosis,Candida,Candida parapsilosis,112322,112472
Candida_parapsilosis_L150_R0011,Candida_parapsilosis,Candida,Candida parapsilosis,200253,200403
Candida_parapsilosis_L150_R0037,Candida_parapsilosis,Candida,Candida parapsilosis,211087,211237
Candida_parapsilosis_L150_R0039,Candida_parapsilosis,Candida,Candida parapsilosis,163993,164143
Candida_parapsilosis_L150_R0045,Candida_parapsilosis,Candida,Candida parapsilosis,76234,76384
Candida_parapsilosis_L150_R0046,Candida_parapsilosis,Candida,Candida parapsilosis,455487,455637
Candida_parapsilosis_L150_R0048,Candida_parapsilosis,Candida,Candida parapsilosis,324271,324421
Candida_parapsilosis_L150_R0049,Candida_parapsilosis,Candida,Candida parapsilosis,130448,130598
Candida_parapsilosis_L150_R0050,Candida_parapsilosis,Candida,Candida parapsilosis,441394,441544
Candida_parapsilosis_L150_R0053,Candida_parapsilosis,Candida,Candida parapsilosis,144487,144637
Candida_parapsilosis_L150_R0055,Candida_parapsilosis,Candida,Candida parapsilosis,448070,448220
Candida_parapsilosis_L150_R0058,Candida_parapsilosis,Candida,Candida parapsilosis,253598,253748
Candida_parapsilosis_L150_R0061,Candida_parapsilosis,Candida,Candida parapsilosis,308109,308259
Candida_parapsilosis_L150_R0063,Candida_parapsilosis,Candida,Candida parapsilosis,249041,249191
Candida_parapsilosis_L150_R0066,Candida_parapsilosis,Candida,Candida parapsilosis,343230,343380
Candida_parapsilosis_L150_R0068,Candida_parapsilosis,Candida,Candida parapsilosis,137674,137824
Candida_parapsilosis_L150_R0071,Candida_parapsilosis,Candida,Candida parapsilosis,36197,36347
Candida_tropicalis_L150_R0000,Candida_tropicalis,Candida,Candida tropicalis,404450,404600
Candida_tropicalis_L150_R0002,Candida_tropicalis,Candida,Candida tropicalis,440571,440721
Candida_tropicalis_L150_R0003,Candida_tropicalis,Candida,Candida tropicalis,417797,417947
Candida_tropicalis_L150_R0004,Candida_tropicalis,Candida,Candida tropicalis,447249,447399
Candida_tropicalis_L150_R0010,Candida_tropicalis,Candida,Candida tropicalis,464857,465007
Candida_tropicalis_L150_R0012,Candida_tropicalis,Candida,Candida tropicalis,340686,340836
Candida_tropicalis_L150_R0020,Candida_tropicalis,Candida,Candida tropicalis,407679,407829
Candida_tropicalis_L150_R0021,Candida_tropicalis,Candida,Candida tropicalis,385328,385478
Candida_tropicalis_L150_R0022,Candida_tropicalis,Candida,Candida tropicalis,414337,414487
Candida_tropicalis_L150_R0031,Candida_tropicalis,Candida,Candida tropicalis,192412,192562
Candida_tropicalis_L150_R0033,Candida_tropicalis,Candida,Candida tropicalis,428562,428712
Candida_tropicalis_L150_R0043,Candida_tropicalis,Candida,Candida tropicalis,222205,222355
Candida_tropicalis_L150_R0046,Candida_tropicalis,Candida,Candida tropicalis,208138,208288
Candida_tropicalis_L150_R0056,Candida_tropicalis,Candida,Candida tropicalis,107191,107341
Candida_tropicalis_L150_R0057,Candida_tropicalis,Candida,Candida tropicalis,153223,153373
Candida_tropicalis_L150_R0058,Candida_tropicalis,Candida,Candida tropicalis,329327,329477
Candida_tropicalis_L150_R0059,Candida_tropicalis,Candida,Candida tropicalis,145592,145742
Candida_tropicalis_L150_R0064,Candida_tropicalis,Candida,Candida tropicalis,187050,187200
Candida_tropicalis_L150_R0069,Candida_tropicalis,Candida,Candida tropicalis,314890,315040
Candida_tropicalis_L150_R0073,Candida_tropicalis,Candida,Candida tropicalis,123054,123204
Enterobacter_asburiae_L150_R0003,Enterobacter_asburiae,Enterobacter,Enterobacter asburiae,115974,116124
Enterobacter_asburiae_L150_R0006,Enterobacter_asburiae,Enterobacter,Enterobacter asburiae,337137,337287
Enterobacter_asburiae_L150_R0015,Enterobacter_asburiae,Enterobacter,Enterobacter asburiae,157909,158059
Enterobacter_asburiae_L150_R0020,Enterobacter_asburiae,Enterobacter,Enterobacter asburiae,440880,441030
Enterobacter_asburiae_L150_R0022,Enterobacter_asburiae,Enterobacter,Enterobacter asburiae,176823,176973
Enterobacter_asburiae_L150_R0024,Enterobacter_asburiae,Enterobacter,Enterobacter asburiae,357144,357294
Enterobacter_asburiae_L150_R0037,Enterobacter_asburiae,Enterobacter,Enterobacter asburiae,331333,331483
Enterobacter_asburiae_L150_R0040,Enterobacter_asburiae,Enterobacter,Enterobacter asburiae,113963,114113
Enterobacter_asburiae_L150_R0043,Enterobacter_asburiae,Enterobacter,Enterobacter asburiae,247187,247337
Enterobacter_asburiae_L150_R0046,Enterobacter_asburiae,Enterobacter,Enterobacter asburiae,71251,71401
Enterobacter_asburiae_L150_R0050,Enterobacter_asburiae,Enterobacter,Enterobacter asburiae,189261,189411
Enterobacter_asburiae_L150_R0053,Enterobacter_asburiae,Enterobacter,Enterobacter asburiae,73366,73516
Enterobacter_asburiae_L150_R0055,Enterobacter_asburiae,Enterobacter,Enterobacter asburiae,231997,232147
Enterobacter_asburiae_L150_R0061,Enterobacter_asburiae,Enterobacter,Enterobacter asburiae,389043,389193
Enterobacter_asburiae_L150_R0063,Enterobacter_asburiae,Enterobacter,Enterobacter asburiae,205529,205679
Enterobacter_asburiae_L150_R0071,Enterobacter_asburiae,Enterobacter,Enterobacter asburiae,486453,486603
Enterobacter_asburiae_L150_R0073,Enterobacter_asburiae,Enterobacter,Enterobacter asburiae,95631,95781
Enterobacter_asburiae_L150_R0074,Enterobacter_asburiae,Enterobacter,Enterobacter asburiae,365064,365214
Enterobacter_asburiae_L150_R0075,Enterobacter_asburiae,Enterobacter,Enterobacter asburiae,167107,167257
Enterobacter_asburiae_L150_R0079,Enterobacter_asburiae,Enterobacter,Enterobacter asburiae,39175,39325
Enterobacter_bugandensis_L150_R0002,Enterobacter_bugandensis,Enterobacter,Enterobacter bugandensis,78885,79035
Enterobacter_bugandensis_L150_R0003,Enterobacter_bugandensis,Enterobacter,Enterobacter bugandensis,278379,278529
Enterobacter_bugandensis_L150_R0005,Enterobacter_bugandensis,Enterobacter,Enterobacter bugandensis,449171,449321
Enterobacter_bugandensis_L150_R0009,Enterobacter_bugandensis,Enterobacter,Enterobacter bugandensis,133171,133321
Enterobacter_bugandensis_L150_R0024,Enterobacter_bugandensis,Enterobacter,Enterobacter bugandensis,178887,179037
Enterobacter_bugandensis_L150_R0025,Enterobacter_bugandensis,Enterobacter,Enterobacter bugandensis,151500,151650
Enterobacter_bugandensis_L150_R0026,Enterobacter_bugandensis,Enterobacter,Enterobacter bugandensis,98373,98523
Enterobacter_bugandensis_L150_R0047,Enterobacter_bugandensis,Enterobacter,Enterobacter bugandensis,8280,8430
Enterobacter_bugandensis_L150_R0049,Enterobacter_bugandensis,Enterobacter,Enterobacter bugandensis,388613,388763
Enterobacter_bugandensis_L150_R0051,Enterobacter_bugandensis,Enterobacter,Enterobacter bugandensis,378329,378479
Enterobacter_bugandensis_L150_R0052,Enterobacter_bugandensis,Enterobacter,Enterobacter bugandensis,238487,238637
Enterobacter_bugandensis_L150_R0057,Enterobacter_bugandensis,Enterobacter,Enterobacter bugandensis,201672,201822
Enterobacter_bugandensis_L150_R0058,Enterobacter_bugandensis,Enterobacter,Enterobacter bugandensis,430360,430510
