table,md_path,status_hint,source_csv,md_rows,source_rows,status,details
stage3_table_fullmatrix_property_controlled_delta_ci,manuscript\tables\stage3_table_fullmatrix_property_controlled_delta_ci.md,final,results/stage3/fullmatrix_property_contribution_ci/fullmatrix_property_controlled_delta_ci.csv,8.0,8.0,ok,markdown values match source CSV within displayed precision tolerance
stage3_table_fullmatrix_property_art_ci,manuscript\tables\stage3_table_fullmatrix_property_art_ci.md,final,results/stage3/fullmatrix_property_contribution_ci/fullmatrix_property_art_ci.csv,8.0,8.0,ok,markdown values match source CSV within displayed precision tolerance
stage3_table_fullmatrix_property_art_delta_ci,manuscript\tables\stage3_table_fullmatrix_property_art_delta_ci.md,final,results/stage3/fullmatrix_property_contribution_ci/fullmatrix_property_art_delta_ci.csv,4.0,4.0,ok,markdown values match source CSV within displayed precision tolerance
stage3_table_fullmatrix_property_cami_ci,manuscript\tables\stage3_table_fullmatrix_property_cami_ci.md,final,results/stage3/fullmatrix_property_contribution_ci/fullmatrix_property_cami_ci.csv,8.0,8.0,ok,markdown values match source CSV within displayed precision tolerance
stage3_table_fullmatrix_property_cami_delta_ci,manuscript\tables\stage3_table_fullmatrix_property_cami_delta_ci.md,final,results/stage3/fullmatrix_property_contribution_ci/fullmatrix_property_cami_delta_ci.csv,4.0,4.0,ok,markdown values match source CSV within displayed precision tolerance
table_spaced_pattern_sanity_cardinality,manuscript\tables\table_spaced_pattern_sanity_cardinality.md,final,results/stage3/spaced_pattern_sanity/spaced_pattern_sanity_cardinality_summary.csv,3.0,3.0,ok,markdown values match source CSV within displayed precision tolerance
table_spaced_pattern_sanity_best_four_position,manuscript\tables\table_spaced_pattern_sanity_best_four_position.md,final,results/stage3/spaced_pattern_sanity/spaced_pattern_sanity_best_four_position.csv,6.0,6.0,ok,markdown values match source CSV within displayed precision tolerance
stage3_table_representation_scheme_summary,manuscript\tables\stage3_table_representation_scheme_summary.md,static,,,,static_or_deprecated,method/representation taxonomy table generated from manuscript asset script
table_representation_taxonomy,manuscript\tables\table_representation_taxonomy.md,static,,,,static_or_deprecated,legacy representation taxonomy table; not used by final stage-3 manuscript
stage2_table_neural_compatibility_aggregate,manuscript\tables\stage2_table_neural_compatibility_aggregate.md,deprecated,,,,static_or_deprecated,old deterministic neural compatibility table; not used by the revised final manuscript because no third neural baseline is added
stage2_table_parameter_readout_best,manuscript\tables\stage2_table_parameter_readout_best.md,deprecated,,,,static_or_deprecated,"real stage-2 parameter-sensitivity readout table, but replaced in final manuscript by stage3/spaced_pattern_sanity to avoid mixed parameter-grid provenance"
stage2_table_parameter_stability_best,manuscript\tables\stage2_table_parameter_stability_best.md,deprecated,,,,static_or_deprecated,"real stage-2 parameter-sensitivity stability table, but not used by final manuscript after provenance cleanup"
table_parameter_sensitivity_best_classification,manuscript\tables\table_parameter_sensitivity_best_classification.md,deprecated,,,,static_or_deprecated,later results/runs parameter-sensitivity table; not used by final manuscript after provenance cleanup
table_parameter_sensitivity_best_stability,manuscript\tables\table_parameter_sensitivity_best_stability.md,deprecated,,,,static_or_deprecated,later results/runs parameter-sensitivity table; not used by final manuscript after provenance cleanup
