genus,species,label,taxid,benchmark_role,dataset_role,assembly_accession,representative_strain,genome_path,genome_status,base_count,notes
Candida,Candida tropicalis,Candida_tropicalis,5482,target_pathogen_candidate,primary_or_common_pathogen,GCF_000006335.3,MYA-3404（临床株）,D:\AI-NGS\信息学\data\reference_genomes\close_relative\Candida\Candida_tropicalis\GCF_000006335.3_genomic.fna,missing_not_downloaded,,
Enterobacter,Enterobacter asburiae,Enterobacter_asburiae,61645,close_relative_hard_negative,hard_negative_close_relative,GCF_900077725.1,临床参考株（候选，不作为唯一代表株结论）,D:\AI-NGS\信息学\data\reference_genomes\close_relative\Enterobacter\Enterobacter_asburiae\GCF_900077725.1_genomic.fna,missing_not_downloaded,,
Enterobacter,Enterobacter bugandensis,Enterobacter_bugandensis,881260,close_relative_hard_negative,hard_negative_close_relative,GCF_900324475.1,EB-247（人血分离来源候选）,D:\AI-NGS\信息学\data\reference_genomes\close_relative\Enterobacter\Enterobacter_bugandensis\GCF_900324475.1_genomic.fna,missing_not_downloaded,,
Enterobacter,Enterobacter hormaechei,Enterobacter_hormaechei,158836,close_relative_hard_negative,hard_negative_close_relative,GCF_000213995.1,ATCC 49162,D:\AI-NGS\信息学\data\reference_genomes\close_relative\Enterobacter\Enterobacter_hormaechei\GCF_000213995.1_genomic.fna,missing_not_downloaded,,
Enterobacter,Enterobacter kobei,Enterobacter_kobei,208224,close_relative_hard_negative,hard_negative_close_relative,GCF_023023125.1,临床/宿主相关候选株,D:\AI-NGS\信息学\data\reference_genomes\close_relative\Enterobacter\Enterobacter_kobei\GCF_023023125.1_genomic.fna,missing_not_downloaded,,
Enterobacter,Enterobacter cloacae,Enterobacter_cloacae,550,target_pathogen_candidate,primary_or_common_pathogen,GCF_905331265.2,Enterobacter cloacae 1382,D:\AI-NGS\信息学\data\reference_genomes\close_relative\Enterobacter\Enterobacter_cloacae\GCF_905331265.2_genomic.fna,missing_not_downloaded,,
Escherichia,Escherichia coli,Escherichia_coli,562,colonizer_or_contaminant,colonizer_or_contaminant,GCF_000005845.2,K-12 substr. MG1655（普通参考株；不能作为ST131代表株）,D:\AI-NGS\code-V3\data\WGS\细菌界\Escherichia\Escherichia coli\GCF_000005845.2_genomic.fna,local_wgs,4641652,
Escherichia,Escherichia fergusonii,Escherichia_fergusonii,564,target_pathogen_candidate,primary_or_common_pathogen,GCF_000026225.1,ATCC 35469 / type strain,D:\AI-NGS\信息学\data\reference_genomes\close_relative\Escherichia\Escherichia_fergusonii\GCF_000026225.1_genomic.fna,missing_not_downloaded,,
Klebsiella,Klebsiella quasipneumoniae,Klebsiella_quasipneumoniae,1463165,close_relative_hard_negative,hard_negative_close_relative,GCF_003181175.1,ATCC 700603 / K6（ESBL QC/尿液分离来源；原K. pneumoniae K6）,D:\AI-NGS\信息学\data\reference_genomes\close_relative\Klebsiella\Klebsiella_quasipneumoniae\GCF_003181175.1_genomic.fna,missing_not_downloaded,,
Klebsiella,Klebsiella variicola,Klebsiella_variicola,244366,close_relative_hard_negative,hard_negative_close_relative,GCF_000025465.1,At-22,D:\AI-NGS\信息学\data\reference_genomes\close_relative\Klebsiella\Klebsiella_variicola\GCF_000025465.1_genomic.fna,missing_not_downloaded,,
Klebsiella,Klebsiella pneumoniae,Klebsiella_pneumoniae,573,target_pathogen_candidate,primary_or_common_pathogen,GCF_000240185.1,HS11286（若保留GCF_000240185.1；原ATCC 700603应移至K. quasipneumoniae）,D:\AI-NGS\信息学\data\reference_genomes\close_relative\Klebsiella\Klebsiella_pneumoniae\GCF_000240185.1_genomic.fna,missing_not_downloaded,,
