retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,representation,representation_label,n_pairs,n_features,base_representation,reducer,target_dim
1.0,0.997609699463486,0.9938188951712762,0.06461130391325927,0.11118035189421559,0.7034343159656459,1.0,69,trim_5bp,ck7_svd147,CK7 SVD-147,250,147,ckmer7_count_l2,svd,147.0
1.0,0.997440437592385,0.9936317833467767,0.06771576499622234,0.11285232162227465,0.834796057937823,1.0,69,trim_5bp,ck7_svd222,CK7 SVD-222,250,222,ckmer7_count_l2,svd,222.0
1.0,0.9372342498759402,0.871661004572544,0.3429479390057551,0.5066226745036819,0.33619606320063844,1.0,69,substitution_1pct_N_3pct,ck4,CK4,250,136,,,
1.0,0.9676138143728258,0.9349416000917475,0.2468743849276227,0.3607092067460018,0.16861121468795673,1.0,69,substitution_1pct_N_3pct,ck4_p,CK4+P,250,147,,,
1.0,0.9780630552189901,0.9561635295995914,0.203360961171678,0.2960924905084512,0.11429665396313442,1.0,69,substitution_1pct_N_3pct,ck4p_msp,CK4P-MSP,250,222,,,
1.0,0.8935949444747316,0.7934687379881084,0.44768017368916996,0.6426872694407202,0.556944194697425,1.0,69,substitution_1pct_N_3pct,ckmer5_count_l2,CK5,250,512,,,
1.0,0.9354093385596123,0.8630263097477467,0.3456542321943216,0.5233980511528328,0.6311721833614797,1.0,69,substitution_1pct_N_3pct,ck5_pca147,CK5 PCA-147,250,147,ckmer5_count_l2,pca,147.0
1.0,0.9199368654426701,0.8354351446406659,0.3858291264555751,0.5736966852383739,0.6562513565736853,1.0,69,substitution_1pct_N_3pct,ck5_pca222,CK5 PCA-222,250,222,ckmer5_count_l2,pca,222.0
1.0,0.9444474657266885,0.8829734774133353,0.32100467996465537,0.4837902903314196,0.5467995235600238,1.0,69,substitution_1pct_N_3pct,ck5_svd147,CK5 SVD-147,250,147,ckmer5_count_l2,svd,147.0
1.0,0.9300008827639918,0.8556541540798397,0.3610859918673107,0.5372985064491469,0.5758366469301558,1.0,69,substitution_1pct_N_3pct,ck5_svd222,CK5 SVD-222,250,222,ckmer5_count_l2,svd,222.0
1.0,0.9862649329967428,0.964745942454364,0.15445085347302215,0.26553255385366864,0.7120627638956131,1.0,69,substitution_1pct_N_3pct,ck7_pca147,CK7 PCA-147,250,147,ckmer7_count_l2,pca,147.0
1.0,0.985394283177271,0.963612914779933,0.15988560551577796,0.26973794507458265,0.8306754103856593,1.0,69,substitution_1pct_N_3pct,ck7_pca222,CK7 PCA-222,250,222,ckmer7_count_l2,pca,222.0
1.0,0.9866052045663711,0.9645390622479771,0.1524424908567575,0.26631059032341575,0.6896717407318463,1.0,69,substitution_1pct_N_3pct,ck7_svd147,CK7 SVD-147,250,147,ckmer7_count_l2,svd,147.0
1.0,0.985646587300859,0.9638073878267645,0.15851563881375183,0.26901033691421294,0.8146159753110052,1.0,69,substitution_1pct_N_3pct,ck7_svd222,CK7 SVD-222,250,222,ckmer7_count_l2,svd,222.0
1.0,0.9188036319278989,0.8933776621615626,0.4005857459119648,0.4617837870063859,0.3162471909675771,1.0,69,local_mismatch_6bp,ck4,CK4,250,136,,,
1.0,0.9593449165805865,0.9466233289195289,0.28345859129762113,0.3267311439120737,0.15854189860799112,1.0,69,local_mismatch_6bp,ck4_p,CK4+P,250,147,,,
1.0,0.9726401088292305,0.9641243771492726,0.2325387959951171,0.2678642255832194,0.10733458675557216,1.0,69,local_mismatch_6bp,ck4p_msp,CK4P-MSP,250,222,,,
1.0,0.8755287438142705,0.8473039491526417,0.49714068807528305,0.5526229290345422,0.5350089574825163,1.0,69,local_mismatch_6bp,ckmer5_count_l2,CK5,250,512,,,
1.0,0.9226839087501971,0.8922749728653142,0.38973516487354737,0.46416516070089625,0.6190089791964528,1.0,69,local_mismatch_6bp,ck5_pca147,CK5 PCA-147,250,147,ckmer5_count_l2,pca,147.0
1.0,0.9039040036056079,0.8734402203551392,0.4358195708806055,0.503109784247608,0.6401293138887599,1.0,69,local_mismatch_6bp,ck5_pca222,CK5 PCA-222,250,222,ckmer5_count_l2,pca,222.0
1.0,0.933946609921813,0.9105847866858586,0.3604622761720346,0.42288344918171655,0.5294038939065393,1.0,69,local_mismatch_6bp,ck5_svd147,CK5 SVD-147,250,147,ckmer5_count_l2,svd,147.0
1.0,0.9166332454855388,0.8919383640819342,0.40609953494818946,0.46489047907804254,0.5563147867539362,1.0,69,local_mismatch_6bp,ck5_svd222,CK5 SVD-222,250,222,ckmer5_count_l2,svd,222.0
0.996,0.9870896287335554,0.9755530656236123,0.15584735762272833,0.2211190555517495,0.7151028836090813,0.996,69,local_mismatch_6bp,ck7_pca147,CK7 PCA-147,250,147,ckmer7_count_l2,pca,147.0
0.996,0.9863637586271701,0.9756710550151784,0.16103142166463788,0.22058500468281478,0.8323573086055652,0.996,69,local_mismatch_6bp,ck7_pca222,CK7 PCA-222,250,222,ckmer7_count_l2,pca,222.0
0.996,0.9873420612153501,0.9758588455368571,0.15433736061973258,0.21972152221597402,0.6905997126770935,0.996,69,local_mismatch_6bp,ck7_svd147,CK7 SVD-147,250,147,ckmer7_count_l2,svd,147.0
0.996,0.9865328447226971,0.9756333667456074,0.16005887791667703,0.22074782033279056,0.8153609178533389,0.996,69,local_mismatch_6bp,ck7_svd222,CK7 SVD-222,250,222,ckmer7_count_l2,svd,222.0
1.0,0.979729905126683,0.9302111017775424,0.14312095609456846,0.37354179175042185,0.3673206281557423,1.0,69,short_indel,ck4,CK4,250,136,,,
1.0,0.9898613772686582,0.9650902220858627,0.10122079017794305,0.26419191071886183,0.18405966643901722,1.0,69,short_indel,ck4_p,CK4+P,250,147,,,
1.0,0.9932013240888805,0.9766238285458804,0.08291459411139544,0.21619310851547102,0.1246107621286614,1.0,69,short_indel,ck4p_msp,CK4P-MSP,250,222,,,
1.0,0.962537237149397,0.8803210072216104,0.19530811145318602,0.48922412251363007,0.6142003331975282,1.0,69,short_indel,ckmer5_count_l2,CK5,250,512,,,
1.0,0.9774058416346658,0.9229152110099123,0.14975062402028047,0.3926167655447209,0.6751412142015389,1.0,69,short_indel,ck5_pca147,CK5 PCA-147,250,147,ckmer5_count_l2,pca,147.0
1.0,0.9717825005381014,0.905512637698457,0.1685222804802028,0.43471216563402587,0.7088316135404461,1.0,69,short_indel,ck5_pca222,CK5 PCA-222,250,222,ckmer5_count_l2,pca,222.0
1.0,0.9807257634842165,0.9348912116132411,0.13854204366669415,0.36085226365104206,0.5805292135681354,1.0,69,short_indel,ck5_svd147,CK5 SVD-147,250,147,ckmer5_count_l2,svd,147.0
1.0,0.9755621180676589,0.9191912818757725,0.1570021983578805,0.4020165864941759,0.6178814009316161,1.0,69,short_indel,ck5_svd222,CK5 SVD-222,250,222,ckmer5_count_l2,svd,222.0
1.0,0.9953227533735973,0.9821889376415924,0.0664077633734214,0.1887111063248086,0.7249154567922879,1.0,69,short_indel,ck7_pca147,CK7 PCA-147,250,147,ckmer7_count_l2,pca,147.0
1.0,0.9949539080195241,0.9811227583748932,0.06932635328184675,0.19429059407059912,0.8483311510798507,1.0,69,short_indel,ck7_pca222,CK7 PCA-222,250,222,ckmer7_count_l2,pca,222.0
1.0,0.9954269067751114,0.9828963715774511,0.06569846431339144,0.1849509109422109,0.7017142039804408,1.0,69,short_indel,ck7_svd147,CK7 SVD-147,250,147,ckmer7_count_l2,svd,147.0
1.0,0.995032042398388,0.9813511219130634,0.06882190261459634,0.1931221160560287,0.8315204778162945,1.0,69,short_indel,ck7_svd222,CK7 SVD-222,250,222,ckmer7_count_l2,svd,222.0
1.0,0.9783719460795532,0.9278902195053299,0.1417921692034039,0.3797614450276986,0.36019314412392056,1.0,75,substitution_1pct,ck4,CK4,250,136,,,
1.0,0.9891808140524204,0.9639256672460382,0.10030088660257848,0.26860434866916655,0.18058109168055766,1.0,75,substitution_1pct,ck4_p,CK4+P,250,147,,,
1.0,0.9927645875022445,0.9758972870411862,0.08204428146937819,0.21955672007097757,0.1222924159234549,1.0,75,substitution_1pct,ck4p_msp,CK4P-MSP,250,222,,,
1.0,0.9615440961638906,0.8764731414360342,0.18917521359336587,0.4970449686575013,0.5999675202915189,1.0,75,substitution_1pct,ckmer5_count_l2,CK5,250,512,,,
1.0,0.9770268597594672,0.9223078289530608,0.14559756997576698,0.3941828305311685,0.6641286552901956,1.0,75,substitution_1pct,ck5_pca147,CK5 PCA-147,250,147,ckmer5_count_l2,pca,147.0
1.0,0.9709001823726904,0.9050630750153353,0.1641415267180601,0.43573864730897166,0.6965317960269146,1.0,75,substitution_1pct,ck5_pca222,CK5 PCA-222,250,222,ckmer5_count_l2,pca,222.0
1.0,0.9805127010371125,0.9352779076169547,0.13419170095286312,0.3597804333483002,0.5677229572313165,1.0,75,substitution_1pct,ck5_svd147,CK5 SVD-147,250,147,ckmer5_count_l2,svd,147.0
1.0,0.9749686515392737,0.9186359142049889,0.15230078572892108,0.4033952835306324,0.6038603263544956,1.0,75,substitution_1pct,ck5_svd222,CK5 SVD-222,250,222,ckmer5_count_l2,svd,222.0
1.0,0.9958277303852219,0.9836483812154185,0.06054935061119682,0.18083897034536536,0.726305668730266,1.0,75,substitution_1pct,ck7_pca147,CK7 PCA-147,250,147,ckmer7_count_l2,pca,147.0
1.0,0.995501577347917,0.9823881619940296,0.0631555016865979,0.1876756223466812,0.8499193448484689,1.0,75,substitution_1pct,ck7_pca222,CK7 PCA-222,250,222,ckmer7_count_l2,pca,222.0
1.0,0.9959013095954186,0.9839425343954368,0.060020893814610975,0.17920403409860836,0.7018915213267832,1.0,75,substitution_1pct,ck7_svd147,CK7 SVD-147,250,147,ckmer7_count_l2,svd,147.0
1.0,0.9955536641163037,0.9828062912594032,0.06278011782332199,0.1854362215673733,0.8318238149582728,1.0,75,substitution_1pct,ck7_svd222,CK7 SVD-222,250,222,ckmer7_count_l2,svd,222.0
1.0,0.9694417949584504,0.9579837070285923,0.2450316036479522,0.28988371831538695,0.3589040632515301,1.0,75,N_3pct,ck4,CK4,250,136,,,
1.0,0.9838695856755445,0.9781337807027422,0.17822260208925159,0.2091230039791247,0.18000749149802148,1.0,75,N_3pct,ck4_p,CK4+P,250,147,,,
1.0,0.9889529032784652,0.9851652338437085,0.14756202720843378,0.17224845314801546,0.1219933860558915,1.0,75,N_3pct,ck4p_msp,CK4P-MSP,250,222,,,
1.0,0.9460593680248812,0.9295852007332219,0.32586928126688114,0.37527164733320656,0.5893713419722092,1.0,75,N_3pct,ckmer5_count_l2,CK5,250,512,,,
1.0,0.9692906034468722,0.9549656448333798,0.24467470328182034,0.3001144362954954,0.6542711095560387,1.0,75,N_3pct,ck5_pca147,CK5 PCA-147,250,147,ckmer5_count_l2,pca,147.0
1.0,0.9614487086848785,0.9476189076587037,0.27489764378447124,0.32366986976235446,0.684857396852022,1.0,75,N_3pct,ck5_pca222,CK5 PCA-222,250,222,ckmer5_count_l2,pca,222.0
1.0,0.9736240565792659,0.9626233082439497,0.22695344156316932,0.27340995649029887,0.5635981431522389,1.0,75,N_3pct,ck5_svd147,CK5 SVD-147,250,147,ckmer5_count_l2,svd,147.0
1.0,0.9664221713854093,0.955185606142756,0.25669785345861407,0.29938064073542436,0.5975814524908062,1.0,75,N_3pct,ck5_svd222,CK5 SVD-222,250,222,ckmer5_count_l2,svd,222.0
1.0,0.993983392509299,0.9878278384551292,0.10573952058313484,0.1560264364360442,0.7248451243959134,1.0,75,N_3pct,ck7_pca147,CK7 PCA-147,250,147,ckmer7_count_l2,pca,147.0
1.0,0.9935918587760504,0.9875752792174669,0.10978671690575675,0.1576364770483129,0.8439744635642636,1.0,75,N_3pct,ck7_pca222,CK7 PCA-222,250,222,ckmer7_count_l2,pca,222.0
1.0,0.9941455384705623,0.9882409701483055,0.10433355577368421,0.15335381333227058,0.7020761708605616,1.0,75,N_3pct,ck7_svd147,CK7 SVD-147,250,147,ckmer7_count_l2,svd,147.0
1.0,0.9937097934923801,0.9878876040899263,0.10879783032933078,0.1556431203054114,0.8264752116242683,1.0,75,N_3pct,ck7_svd222,CK7 SVD-222,250,222,ckmer7_count_l2,svd,222.0
1.0,0.9798102234691064,0.9736702254178108,0.19966687464650015,0.22947668544839234,0.36518506146929974,1.0,75,trim_5bp,ck4,CK4,250,136,,,
1.0,0.9898709644724605,0.9868121501139407,0.1414313224611691,0.16240597167009355,0.1830572867898716,1.0,75,trim_5bp,ck4_p,CK4+P,250,147,,,
1.0,0.9928822377317007,0.9908558036812103,0.11860860586882586,0.13523445969367612,0.12366849031043217,1.0,75,trim_5bp,ck4p_msp,CK4P-MSP,250,222,,,
1.0,0.970998252588332,0.9636097113616853,0.2399457173058802,0.26977454174571697,0.6082613210690939,1.0,75,trim_5bp,ckmer5_count_l2,CK5,250,512,,,
1.0,0.9835222947372011,0.9761252110995718,0.17965569272822035,0.21851647962269724,0.6679191761450172,1.0,75,trim_5bp,ck5_pca147,CK5 PCA-147,250,147,ckmer5_count_l2,pca,147.0
1.0,0.9792738480356399,0.972084368052064,0.202309170312864,0.23628485703481922,0.7011671926657745,1.0,75,trim_5bp,ck5_pca222,CK5 PCA-222,250,222,ckmer5_count_l2,pca,222.0
1.0,0.9858713849695507,0.979642254446572,0.1664430413814653,0.20178031064140126,0.5739039674652315,1.0,75,trim_5bp,ck5_svd147,CK5 SVD-147,250,147,ckmer5_count_l2,svd,147.0
1.0,0.9820013888465519,0.9755954753922492,0.18860690169662336,0.2209240879082851,0.6105811261584163,1.0,75,trim_5bp,ck5_svd222,CK5 SVD-222,250,222,ckmer5_count_l2,svd,222.0
0.996,0.9979257814559761,0.9953391472883291,0.06107783396461609,0.0965488982401474,0.7293167530310438,0.996,75,trim_5bp,ck7_pca147,CK7 PCA-147,250,147,ckmer7_count_l2,pca,147.0
0.996,0.9977823010452719,0.9953172116110048,0.06382596514417474,0.09677547686616061,0.8525852863757297,0.996,75,trim_5bp,ck7_pca222,CK7 PCA-222,250,222,ckmer7_count_l2,pca,222.0
0.996,0.9979817284333641,0.9954671030044193,0.06022240431480082,0.09521395073834357,0.7059768578429714,0.996,75,trim_5bp,ck7_svd147,CK7 SVD-147,250,147,ckmer7_count_l2,svd,147.0
0.996,0.9978189349520762,0.9953448149157573,0.06330149938535778,0.09649006864182542,0.8352162786123296,0.996,75,trim_5bp,ck7_svd222,CK7 SVD-222,250,222,ckmer7_count_l2,svd,222.0
1.0,0.9442853759464359,0.8802783789147458,0.32069112458383925,0.48932874481322014,0.3356566971443989,1.0,75,substitution_1pct_N_3pct,ck4,CK4,250,136,,,
1.0,0.9712875038529355,0.9393033156068908,0.2308038847700096,0.34841533482677395,0.1683724845784826,1.0,75,substitution_1pct_N_3pct,ck4_p,CK4+P,250,147,,,
1.0,0.9805558087734377,0.9591915773561001,0.19014268799730988,0.2856862593146169,0.11407618538481268,1.0,75,substitution_1pct_N_3pct,ck4p_msp,CK4P-MSP,250,222,,,
1.0,0.9046921964445447,0.8119573432945749,0.422180919525653,0.6132579267260772,0.5518866481804455,1.0,75,substitution_1pct_N_3pct,ckmer5_count_l2,CK5,250,512,,,
1.0,0.9416431025696795,0.8664421587732414,0.3264529273677473,0.5168313876927311,0.6269691320494684,1.0,75,substitution_1pct_N_3pct,ck5_pca147,CK5 PCA-147,250,147,ckmer5_count_l2,pca,147.0
1.0,0.9282343581497379,0.8466648626127463,0.36361616462222757,0.5537754592197506,0.6516670560363562,1.0,75,substitution_1pct_N_3pct,ck5_pca222,CK5 PCA-222,250,222,ckmer5_count_l2,pca,222.0
1.0,0.9501426534959335,0.8883972871039924,0.30211747506585784,0.47243665455558137,0.5384917814602643,1.0,75,substitution_1pct_N_3pct,ck5_svd147,CK5 SVD-147,250,147,ckmer5_count_l2,svd,147.0
1.0,0.9377589847058694,0.8678745957919461,0.33890783968170984,0.5140520655090158,0.567874831850163,1.0,75,substitution_1pct_N_3pct,ck5_svd222,CK5 SVD-222,250,222,ckmer5_count_l2,svd,222.0
1.0,0.9884558231897731,0.9715265296738487,0.1423696654654481,0.2386306654241113,0.7157477846922164,1.0,75,substitution_1pct_N_3pct,ck7_pca147,CK7 PCA-147,250,147,ckmer7_count_l2,pca,147.0
1.0,0.9875997295339293,0.9695128997746174,0.14827078637716046,0.24692293182215969,0.8334833511449965,1.0,75,substitution_1pct_N_3pct,ck7_pca222,CK7 PCA-222,250,222,ckmer7_count_l2,pca,222.0
1.0,0.9887435506296735,0.9720175541468083,0.1405409191250053,0.2365655036182784,0.6925481229338739,1.0,75,substitution_1pct_N_3pct,ck7_svd147,CK7 SVD-147,250,147,ckmer7_count_l2,svd,147.0
1.0,0.9877810856203666,0.970007964750444,0.14716459174591484,0.24491636786070153,0.8156956559149112,1.0,75,substitution_1pct_N_3pct,ck7_svd222,CK7 SVD-222,250,222,ckmer7_count_l2,svd,222.0
1.0,0.9298783720971088,0.9068618184919587,0.3719210416454856,0.43159662854591324,0.3171275143584605,1.0,75,local_mismatch_6bp,ck4,CK4,250,136,,,
1.0,0.9648906143145782,0.9534087595250512,0.26317466531820927,0.3052575490723688,0.1590278504966401,1.0,75,local_mismatch_6bp,ck4_p,CK4+P,250,147,,,
1.0,0.9763877696372665,0.9687225353096377,0.21584193825911546,0.2501097177345912,0.1077967355353243,1.0,75,local_mismatch_6bp,ck4p_msp,CK4P-MSP,250,222,,,
1.0,0.8890408293310711,0.8628151901460568,0.46902818492797266,0.5238029230380009,0.5334635151094164,1.0,75,local_mismatch_6bp,ckmer5_count_l2,CK5,250,512,,,
1.0,0.9322972414481197,0.9028038792662656,0.36467357043804194,0.44089888683488765,0.618367563677565,1.0,75,local_mismatch_6bp,ck5_pca147,CK5 PCA-147,250,147,ckmer5_count_l2,pca,147.0
1.0,0.9147461905592271,0.8871407964388062,0.4103130458878368,0.475097681125809,0.6393176187227817,1.0,75,local_mismatch_6bp,ck5_pca222,CK5 PCA-222,250,222,ckmer5_count_l2,pca,222.0
1.0,0.9423645071765879,0.921038400041047,0.3366598652575459,0.3973954478315901,0.525366665169493,1.0,75,local_mismatch_6bp,ck5_svd147,CK5 SVD-147,250,147,ckmer5_count_l2,svd,147.0
1.0,0.9264735289429715,0.9050976893960387,0.38122425209999006,0.435660498572568,0.5519302016212776,1.0,75,local_mismatch_6bp,ck5_svd222,CK5 SVD-222,250,222,ckmer5_count_l2,svd,222.0
1.0,0.9895136290497408,0.9812716118584213,0.1402948486256356,0.19353427075575444,0.7168906172736593,1.0,75,local_mismatch_6bp,ck7_pca147,CK7 PCA-147,250,147,ckmer7_count_l2,pca,147.0
1.0,0.9887132786540432,0.9811467745078015,0.14654800693511344,0.19417503424921692,0.8365405400173956,1.0,75,local_mismatch_6bp,ck7_pca222,CK7 PCA-222,250,222,ckmer7_count_l2,pca,222.0
1.0,0.9896871398371953,0.9817453358959332,0.13917551522513136,0.19107153700108265,0.6925553356595078,1.0,75,local_mismatch_6bp,ck7_svd147,CK7 SVD-147,250,147,ckmer7_count_l2,svd,147.0
1.0,0.9888354048200044,0.981434255535428,0.14579422459222388,0.19268807491757414,0.8175135403810911,1.0,75,local_mismatch_6bp,ck7_svd222,CK7 SVD-222,250,222,ckmer7_count_l2,svd,222.0
1.0,0.9852904912129966,0.9449536475280617,0.11395493786081828,0.33180218941810546,0.36619038808933413,1.0,75,short_indel,ck4,CK4,250,136,,,
1.0,0.9926426073026721,0.9724624608619428,0.08059456374116221,0.23468078846774645,0.18358454139435731,1.0,75,short_indel,ck4_p,CK4+P,250,147,,,
1.0,0.9950631138379424,0.9815194774498032,0.06606904524800475,0.19225255337889813,0.12431320707213228,1.0,75,short_indel,ck4p_msp,CK4P-MSP,250,222,,,
1.0,0.9722703961565206,0.8990688103403917,0.15773466257600338,0.4492864455402889,0.6073094851362179,1.0,75,short_indel,ckmer5_count_l2,CK5,250,512,,,
1.0,0.9837361597958402,0.9397036612212922,0.11983972491746066,0.3472530486866371,0.66859577647967,1.0,75,short_indel,ck5_pca147,CK5 PCA-147,250,147,ckmer5_count_l2,pca,147.0
1.0,0.9790045561123599,0.921407972630355,0.13653006857919633,0.3964610628362633,0.701431356894607,1.0,75,short_indel,ck5_pca222,CK5 PCA-222,250,222,ckmer5_count_l2,pca,222.0
1.0,0.986204139635025,0.9489673178604237,0.11052638394620243,0.3194767022780777,0.5723069260399275,1.0,75,short_indel,ck5_svd147,CK5 SVD-147,250,147,ckmer5_count_l2,svd,147.0
1.0,0.9819373884900621,0.9333593693775376,0.126758656922396,0.3650720934111344,0.6088149924140351,1.0,75,short_indel,ck5_svd222,CK5 SVD-222,250,222,ckmer5_count_l2,svd,222.0
1.0,0.9967131221530817,0.9867987754972825,0.05295368368667846,0.16248792763982078,0.7274017522420116,1.0,75,short_indel,ck7_pca147,CK7 PCA-147,250,147,ckmer7_count_l2,pca,147.0
1.0,0.9964260121513898,0.9850068661925913,0.05537916168336259,0.1731569650902428,0.8506031388047891,1.0,75,short_indel,ck7_pca222,CK7 PCA-222,250,222,ckmer7_count_l2,pca,222.0
1.0,0.9967586886794655,0.9867368397189483,0.052551015583113134,0.16286594844052554,0.703841420049965,1.0,75,short_indel,ck7_svd147,CK7 SVD-147,250,147,ckmer7_count_l2,svd,147.0
