genome_ID	OTU	NCBI_ID	novelty_category
Otu1374	2	1427364	known_strain
Otu2165.0	85025	679318	known_strain
Otu1376	2157	54252	known_strain
Otu1377	2	575200	known_strain
Otu283.0	194924	873	known_strain
Otu2016.0	118882	1885919	known_strain
Otu1142.0	49546	96345	known_strain
Otu226	2	511678	new_species
Otu2472	2157	1510466	known_strain
Otu2468.0	31989	1917485	known_strain
Otu1734	2	55601	new_strain
Otu1737	2	44251	known_strain
Otu119.1	72275	28108	known_strain
Otu119.0	72275	28108	known_strain
Otu2006	2	40269	new_strain
Otu1398	2157	1008460	known_strain
Otu2003	2	316	known_strain
Otu64.0	213119	2296	known_strain
Otu1106	2	80852	new_strain
Otu71	2	161895	known_strain
Otu852.0	89374	1008	known_strain
Otu1146.0	49546	1763534	known_strain
Otu472.1	31989	60136	new_species
Otu472.0	31989	292414	known_strain
Otu2363.0	1237	1238	known_strain
Otu1136.0	49546	1774273	known_strain
Otu644	2	2335	known_strain
Otu128	2	80854	known_strain
Otu1399	2	39766	known_strain
Otu608	2	657445	known_strain
Otu1472	2	84588	known_strain
Otu909	2	543877	known_strain
Otu1515	2	669	known_strain
Otu1519	2	62322	new_strain
Otu133.1	49546	762954	known_strain
Otu133.0	49546	983548	known_strain
Otu323.0	49546	292691	known_strain
Otu903	2	56812	known_strain
Otu123.0	1608298	1076588	known_strain
Otu1450	2	2336	new_strain
Otu1455	2	135577	known_strain
Otu1505.0	563798	104	known_strain
Otu12.0	109168	84980	known_strain
Otu1078	2157	1873524	new_strain
Otu2090	2	645	new_strain
Otu936	2157	2189	known_strain
Otu635	2	80854	known_strain
Otu639	2	110662	known_strain
Otu2098	2157	55802	known_strain
Otu2099	2	1307763	known_strain
Otu664.0	563798	232259	known_strain
Otu1952	2	1267766	known_strain
Otu72.0	81	1427356	known_strain
Otu454.0	875170	1208324	known_strain
Otu24.0	682522	467094	known_strain
Otu1040	2	62322	new_strain
Otu1763.0	2425	2426	known_strain
Otu22	2	1372	new_species
Otu157.0	28256	1897729	new_strain
Otu26.0	135620	936476	known_strain
Otu1817	2	1898108	known_strain
Otu1894	2	40269	new_strain
Otu839	2	234831	new_strain
Otu2455	2	62322	new_strain
Otu1209	2	80852	new_strain
Otu2453	2	160798	known_strain
Otu1204	2157	1737403	known_strain
Otu2352	2	228745	known_strain
Otu2351	2157	1604004	known_strain
Otu2459	2157	67760	known_strain
Otu1379	2	93466	known_strain
Otu394.0	72275	314275	known_strain
Otu394.1	72275	28108	known_strain
Otu555.0	72275	589873	known_strain
Otu1200.0	135620	400668	known_strain
Otu1180.0	72275	28108	known_strain
Otu137.0	72275	314275	known_strain
Otu571.0	31989	42443	known_strain
Otu172.0	31989	60890	known_strain
Otu40.1	41295	171437	known_strain
Otu1462.0	186818	192421	known_strain
Otu945	2	1760	new_order
Otu2258.1	511678	40269	new_strain
Otu1415	2157	83171	known_strain
Otu2232	2	1648404	known_strain
Otu2234	2	286	new_species
Otu2239	2	759620	known_strain
Otu76.0	49546	59732	new_species
Otu1958.0	72293	138563	known_strain
Otu2169.0	224467	244787	known_strain
Otu1889	2157	2265	known_strain
Otu1468.0	49546	320324	known_strain
Otu1458.0	80864	1763535	known_strain
Otu176.0	67572	314282	known_strain
Otu921.0	67572	67572	new_species
Otu1287	2	82654	known_strain
Otu1240.0	28228	1816218	known_strain
Otu451	2157	55802	known_strain
Otu1900	2157	2226	known_strain
Otu1334	2	74109	known_strain
Otu1336	2	754477	known_strain
Otu1337	2	1491	known_strain
Otu1474.0	72275	314275	known_strain
Otu1362.0	85023	1855377	known_strain
Otu865	2	43658	known_strain
Otu2229	2	1311	known_strain
Otu2044	2	1246	new_strain
Otu1002.0	72294	488546	known_strain
Otu564	2	62322	new_strain
Otu1673	2	316	known_strain
Otu2346.0	415002	395922	known_strain
Otu467	2	668	known_strain
Otu2282	2	53246	known_strain
Otu783	2	91347	new_family
Otu1773	2	1116375	known_strain
Otu2120	2157	51589	known_strain
Otu2121	2	497	known_strain
Otu1777	2	659	new_strain
Otu1027	2	1007105	known_strain
Otu549	2	497	known_strain
Otu1022	2157	39152	known_strain
Otu525.0	28228	58049	known_strain
Otu1140	2	511678	new_species
Otu1147	2	672	known_strain
Otu1093	2	1276	known_strain
Otu492	2	1219	known_strain
Otu941	2	70799	known_strain
Otu198.0	72275	314275	known_strain
Otu766	2	80854	known_strain
Otu761	2	645	new_strain
Otu42.0	261827	1736674	known_strain
Otu947	2	663	known_strain
Otu2489	2	1800	known_strain
Otu36.0	1046	80679	known_strain
Otu2482.0	49546	313598	known_strain
Otu605	2	73919	known_strain
Otu2258.0	511678	40269	new_strain
Otu40.0	41295	1263979	known_strain
Otu298	2	1883	known_strain
Otu775.0	1762	1774	known_strain
Otu106	2	126740	known_strain
Otu2191	2	657445	known_strain
Otu168.0	49546	516051	known_strain
Otu215.0	49546	1150389	known_strain
Otu301	2	404011	known_strain
Otu2196	2	55601	new_strain
Otu261	2	55601	new_strain
Otu219.0	1046	73141	known_strain
Otu450.0	85016	545619	known_strain
Otu953.0	267889	1763536	known_strain
Otu1853	2	585425	known_strain
Otu1242	2	349106	known_strain
Otu971.0	563798	390884	known_strain
Otu1247	2	291990	known_strain
Otu1248	2	657445	known_strain
Otu2395	2	1494608	known_strain
Otu289	2	80852	new_strain
Otu1569	2	476157	known_strain
Otu205.1	28056	168697	known_strain
Otu612.0	104264	979	known_strain
Otu595.1	28256	2746	known_strain
Otu894.0	31989	35806	known_strain
Otu2411	2	1306787	known_strain
Otu44.0	49546	104267	new_species
Otu2416	2	1888	new_strain
Otu163	2	1883	known_strain
Otu160	2157	971279	known_strain
Otu30.0	34067	34067	known_strain
Otu1680	2	759620	known_strain
Otu1682	2	1219	known_strain
Otu521.0	49546	99286	new_strain
Otu1739	2	1348774	known_strain
Otu1929	2157	1273541	known_strain
Otu873.0	69657	2724	known_strain
Otu873.1	69657	74318	known_strain
Otu1921	2	80852	new_strain
Otu1920	2	1094	known_strain
Otu1923	2	1298608	new_species
Otu999	2	62322	new_strain
Otu1925	2	2335	known_strain
Otu1927	2	511678	new_species
Otu1525.0	49546	252307	known_strain
Otu843	2	80852	new_strain
Otu2300	2	138563	known_strain
Otu1079.0	31989	221822	known_strain
Otu631.0	447467	447471	known_strain
Otu83	2	414778	known_strain
Otu82	2	1548547	known_strain
Otu618.0	69277	1620421	known_strain
Otu186.0	72275	314275	known_strain
Otu70.0	194924	191026	known_strain
Otu1854	2157	38027	known_strain
Otu1446.0	563798	320787	known_strain
Otu89	2157	342949	known_strain
Otu751.0	49546	1250295	known_strain
Otu68	2	80852	new_strain
Otu1635	2	670	known_strain
Otu1634	2	1219	known_strain
Otu1631	2	662	known_strain
Otu594	2	1270	new_strain
Otu1632	2	1144748	known_strain
Otu2290.0	49546	104267	new_species
Otu501	2	1501268	known_strain
Otu503	2	32051	known_strain
Otu1414.1	49546	96345	known_strain
Otu1414.0	49546	244698	known_strain
Otu2107	2	1760	new_order
Otu1187	2	43657	known_strain
Otu1186	2	70864	known_strain
Otu1184	2	52133	known_strain
Otu1182	2	1346	known_strain
Otu2247	2157	644281	known_strain
Otu351	2	64471	known_strain
Otu1069	2157	338192	known_strain
Otu1344	2	40269	new_strain
Otu248.0	72275	490759	known_strain
Otu238.0	252356	1250153	known_strain
Otu1065	2	1620392	known_strain
Otu797	2	497	known_strain
Otu382.0	213119	897	known_strain
Otu338	2	663	known_strain
Otu336	2	120577	known_strain
Otu1767	2	1155739	known_strain
Otu722	2	1763538	known_strain
Otu332	2157	1410606	known_strain
Otu724	2	2420	known_strain
Otu726	2	91347	new_family
Otu384.0	31989	31989	known_strain
Otu570.0	261825	680279	known_strain
Otu50.0	72275	314275	known_strain
Otu1428.0	31989	133924	known_strain
Otu386.0	252356	1644130	known_strain
Otu1949.0	72275	314275	known_strain
Otu707	2	80852	new_strain
Otu312.0	49546	76594	known_strain
Otu2014	2	286	new_species
Otu716.0	45401	531813	known_strain
Otu438	2	28173	known_strain
Otu1113	2	40269	new_strain
Otu1420.0	69277	1670800	known_strain
Otu340	2157	53953	known_strain
Otu433	2	1311	known_strain
Otu159	2	1298608	new_species
Otu152	2	286	new_species
Otu229.0	72275	300231	known_strain
Otu1139	2	1547445	known_strain
Otu659	2	80854	known_strain
Otu230.1	49546	76594	known_strain
Otu230.0	49546	104267	new_species
Otu73	2	29498	known_strain
Otu205.0	28056	307121	known_strain
Otu1529	2	645	new_strain
Otu930	2	1238	known_strain
Otu931	2	269261	known_strain
Otu78	2	45658	known_strain
Otu232.0	49546	96345	known_strain
Otu1448	2157	2177	known_strain
Otu937	2	40269	new_strain
Otu683.0	31989	1792508	known_strain
Otu234.0	85025	1564114	known_strain
Otu2254	2157	54120	known_strain
Otu496.0	541000	1510	new_strain
Otu1332.0	69657	1906738	known_strain
Otu1957.0	49546	1336802	known_strain
Otu1560	2	59754	known_strain
Otu851.0	468	1112209	new_strain
Otu2253	2	797277	known_strain
Otu1806	2	553239	known_strain
Otu1804	2157	2214	known_strain
Otu1969	2	1238	known_strain
Otu1998	2	286	new_species
Otu1966	2157	163003	known_strain
Otu318.0	72275	983545	known_strain
Otu1962	2	349751	known_strain
Otu303.0	649777	336261	known_strain
Otu805	2	294	new_strain
Otu1834.0	49546	754409	known_strain
Otu316.0	49546	96345	known_strain
Otu648.0	417127	398743	known_strain
Otu1238	2	55601	new_strain
Otu2154	2157	42879	known_strain
Otu770	2	1280380	known_strain
Otu2469	2157	565033	known_strain
Otu2343	2	80852	new_strain
Otu1236	2	1219	known_strain
Otu1787	2157	2320	known_strain
Otu2326	2	692370	known_strain
Otu4.0	72276	1335757	known_strain
Otu2259	2	80852	new_strain
Otu2209	2	1238	known_strain
Otu1975.0	188711	171695	known_strain
Otu189	2157	38027	known_strain
Otu2441.0	49546	1239415	known_strain
Otu2441.1	49546	59732	new_species
Otu1301	2	80852	new_strain
Otu1300	2	1821960	known_strain
Otu1302	2	2337	known_strain
Otu1977.0	72275	226	known_strain
Otu1308	2	208596	known_strain
Otu2119.0	541000	1515	new_strain
Otu274.0	186191	186192	known_strain
Otu837.0	28256	2745	known_strain
Otu829.0	1652133	97084	known_strain
Otu801.1	72275	2743	known_strain
Otu801.0	72275	1874317	known_strain
Otu415.0	187144	187145	known_strain
Otu689.0	31989	1881061	known_strain
Otu435.0	563843	29549	known_strain
Otu435.1	563843	29549	known_strain
Otu9	2	387093	known_strain
Otu6	2	1292	new_strain
Otu388	2157	73913	known_strain
Otu365.0	224379	158327	known_strain
Otu2052	2	43989	known_strain
Otu1548.0	31989	1284658	known_strain
Otu2.0	1046	133539	known_strain
Otu281.0	72275	314275	known_strain
Otu1743	2	636	known_strain
Otu2058	2	340345	known_strain
Otu2059	2	662	known_strain
Otu470	2157	229980	known_strain
Otu473	2	80852	new_strain
Otu1984	2	234831	new_strain
Otu2297	2	1292	new_strain
Otu2053	2	2336	new_strain
Otu383	2157	293091	known_strain
Otu345.0	224464	80816	known_strain
Otu1665	2157	1505907	known_strain
Otu2115	2	1760	new_order
Otu2117	2	41275	new_species
Otu282.0	543	28901	new_strain
Otu282.1	543	28901	new_strain
Otu1015	2	361183	known_strain
Otu1119.0	191394	2352	known_strain
Otu2202	2	1238	known_strain
Otu1156	2	80852	new_strain
Otu750	2157	1712654	known_strain
Otu753	2	1311	known_strain
Otu754	2	1612552	known_strain
Otu1237.0	85021	1758689	known_strain
Otu2017.0	563843	146919	known_strain
Otu974	2	1501269	known_strain
Otu975	2	410330	known_strain
Otu613	2157	430914	known_strain
Otu116.0	28256	2745	known_strain
Otu99.0	49546	983544	known_strain
Otu972	2	246432	new_strain
Otu616	2	80854	known_strain
Otu597.0	1616789	1307761	known_strain
Otu767	2	1427364	known_strain
Otu1664	2157	2252	known_strain
Otu1405	2	288	known_strain
Otu681	2	2336	new_strain
Otu687	2157	84156	known_strain
Otu684	2	2748	new_strain
Otu1028	2	1760	new_order
Otu110.0	49546	363408	known_strain
Otu371	2	662	known_strain
Otu376	2157	160232	known_strain
Otu2189	2157	39152	known_strain
Otu115	2	40269	new_strain
Otu352.0	135620	1821621	known_strain
Otu2180	2	80852	new_strain
Otu87.0	72275	314275	known_strain
Otu1950	2	1883	known_strain
Otu107	2	40269	new_strain
Otu1108.0	198251	1002672	known_strain
Otu2415.1	49546	313588	known_strain
Otu2415.0	49546	1250205	known_strain
Otu1847	2	1363	known_strain
Otu1844	2	511678	new_species
Otu2425	2	32052	known_strain
Otu1577	2157	60847	known_strain
Otu85.0	49546	1790137	known_strain
Otu85.1	49546	326319	known_strain
Otu108.1	58050	80854	known_strain
Otu1573	2	1238	known_strain
Otu1570	2	80854	known_strain
Otu2422	2	1386	known_strain
Otu2385	2157	54261	known_strain
Otu1277	2	662	known_strain
Otu1270	2	212663	new_strain
Otu1677.0	202746	202747	known_strain
Otu1272	2	1723645	known_strain
Otu1475	2157	2198	known_strain
Otu498	2	1282	new_strain
Otu1986.0	72275	1033846	known_strain
Otu39.0	194924	879567	known_strain
Otu196	2157	2234	known_strain
Otu255	2	62322	new_strain
Otu13.0	34067	1329899	known_strain
Otu2304	2157	39152	known_strain
Otu1930	2157	56636	known_strain
Otu457.0	49546	111501	known_strain
Otu704	2157	1582439	known_strain
Otu130.0	194924	880	known_strain
Otu1101.0	1237	1238	known_strain
Otu429.0	49546	99286	new_strain
Otu692	2	55601	new_strain
Otu794.0	31989	1458307	known_strain
Otu1836	2	228	new_strain
Otu1832	2157	113653	known_strain
Otu997	2157	582419	known_strain
Otu2333	2	22	new_species
Otu2335	2	59610	known_strain
Otu150.0	49546	49546	new_genus
Otu595.0	28256	1380358	new_strain
Otu2338	2157	379547	known_strain
Otu854	2157	50339	known_strain
Otu1483.1	31989	911045	known_strain
Otu1483.0	31989	42444	known_strain
Otu292.0	31989	2434	known_strain
Otu1581	2	1476	new_strain
Otu1580	2157	2188	known_strain
Otu1704	2	1219	known_strain
Otu1585	2	55601	new_strain
Otu93	2	39960	known_strain
Otu61.0	41295	1288970	known_strain
Otu61.1	41295	168934	new_species
Otu2233.0	85023	399736	known_strain
Otu1620	2	55601	new_strain
Otu1621	2	1348	known_strain
Otu122.1	31989	1920883	known_strain
Otu122.0	31989	159346	known_strain
Otu2206	2	1760	new_order
Otu1780	2	662	known_strain
Otu2156	2	1219	known_strain
Otu2151	2	1238	known_strain
Otu1784	2157	160233	known_strain
Otu2153	2	40214	new_strain
Otu1786	2	1374	known_strain
Otu1469.1	31989	60890	known_strain
Otu1469.0	31989	1850250	known_strain
Otu1057	2	80854	known_strain
Otu405.0	1237	1238	known_strain
Otu360	2	55601	new_strain
Otu536	2	662	known_strain
Otu1191	2	1462	known_strain
Otu532	2	161398	known_strain
Otu1193	2	64160	known_strain
Otu1297	2	645517	known_strain
Otu2268	2	60478	known_strain
Otu1358	2	33	known_strain
Otu75.0	44011	44012	known_strain
Otu1233.0	49546	76831	known_strain
Otu499	2157	13773	known_strain
Otu2299.0	85023	912630	known_strain
Otu327	2157	1042877	known_strain
Otu643.0	49546	313590	known_strain
Otu1267.0	252356	313603	known_strain
Otu1657	2	33994	known_strain
Otu1656	2157	29292	known_strain
Otu1227	2	129337	known_strain
Otu1650	2	1238	known_strain
Otu1719	2	39765	known_strain
Otu1548.1	31989	1063	new_strain
Otu2027	2	118000	known_strain
Otu1658	2157	84599	known_strain
Otu67.0	1046	1229	known_strain
Otu1746	2	1612551	known_strain
Otu2025.0	89373	651143	known_strain
Otu1127	2	662	known_strain
Otu1126	2	1248727	known_strain
Otu2362.0	563843	146919	known_strain
Otu833	2157	1229909	known_strain
Otu927	2	1660251	known_strain
Otu662	2	573570	known_strain
Otu1016.0	666508	547188	known_strain
Otu923	2	670	known_strain
Otu769	2	80852	new_strain
Otu920	2	222136	known_strain
Otu37.0	200667	1191459	known_strain
Otu393.0	80864	192843	known_strain
Otu1433	2	2014	known_strain
Otu391	2	1760	new_order
Otu1431	2157	58290	known_strain
Otu1430	2	286	new_species
Otu881.0	72294	201	known_strain
Otu1653	2157	293091	known_strain
Otu398	2157	2261	known_strain
Otu46	2157	1007084	known_strain
Otu35.0	403	421	known_strain
Otu1536	2	1219	known_strain
Otu1534	2	2336	new_strain
Otu506.0	32033	1896164	known_strain
Otu1010	2	190893	known_strain
Otu1123	2	29494	known_strain
Otu2225.0	72275	589873	known_strain
Otu1913	2157	54259	known_strain
Otu717	2157	1183377	known_strain
Otu169.0	49546	59600	known_strain
Otu169.1	49546	1336795	known_strain
Otu2227.0	49546	104267	new_species
Otu2433.0	72275	1526571	known_strain
Otu1871	2	767892	known_strain
Otu1870	2	1238	known_strain
Otu185.0	28228	28229	known_strain
Otu1876	2	294	new_strain
Otu1179.1	72275	226	known_strain
Otu1179.0	72275	314275	known_strain
Otu1970	2	40269	new_strain
Otu889.0	49546	52959	known_strain
Otu1129	2	86304	known_strain
Otu1224	2157	35746	known_strain
Otu1225	2	62322	new_strain
Otu1221	2	585423	known_strain
Otu895.0	41297	1634516	known_strain
Otu895.1	41297	1913578	known_strain
Otu1381	2157	246969	known_strain
Otu1383	2	40269	new_strain
Otu1382	2	373994	known_strain
Otu2479	2	1760	new_order
Otu1546	2	182710	known_strain
Otu183.0	72275	326544	known_strain
Otu183.1	72275	2743	known_strain
Otu1543	2	657445	known_strain
Otu1501	2	316	known_strain
Otu1541	2	161360	new_strain
Otu1540	2	759620	known_strain
Otu479	2	55601	new_strain
Otu1070.0	40222	754476	known_strain
Otu1507	2	80852	new_strain
Otu48.0	72276	1335746	known_strain
Otu1788.0	49546	930802	known_strain
Otu149	2	32003	known_strain
Otu447.1	49546	143222	known_strain
Otu447.0	49546	1336794	known_strain
Otu812	2	1760	new_order
Otu1662	2157	2187	known_strain
Otu20	2	94122	known_strain
Otu924	2	511678	new_species
Otu1907	2	1330330	known_strain
Otu814.0	191394	197162	known_strain
Otu2217	2	680	known_strain
Otu1901	2	46541	known_strain
Otu2215	2157	1592728	known_strain
Otu867	2	22	new_species
Otu2439	2	444103	known_strain
Otu1316	2	131112	known_strain
Otu860	2	55601	new_strain
Otu928.0	49546	1850252	known_strain
Otu2408	2	271420	known_strain
Otu79.1	72275	226	known_strain
Otu79.0	72275	314275	known_strain
Otu2407.0	31989	53946	known_strain
Otu598	2	2335	known_strain
Otu2080.0	49546	1913577	known_strain
Otu590	2	91347	new_family
Otu596	2	55601	new_strain
Otu1361.0	49546	96345	known_strain
Otu2106	2	668	known_strain
Otu1753	2	286	new_species
Otu1750	2157	195522	known_strain
Otu1068.0	49546	979	known_strain
Otu2066	2	166314	known_strain
Otu69.0	162171	1124597	known_strain
Otu862.0	49546	669041	new_strain
Otu1995	2	2336	new_strain
Otu1445	2	53633	known_strain
Otu1153	2	32003	known_strain
Otu1160	2	1547283	known_strain
Otu222.0	28056	1003110	known_strain
Otu222.1	28056	168695	known_strain
Otu970.0	49546	96345	known_strain
Otu445	2157	187878	known_strain
Otu239.0	135620	187493	known_strain
Otu1617	2	492670	known_strain
Otu1999	2	36814	known_strain
Otu626.0	49546	979	known_strain
Otu1366	2	80852	new_strain
Otu220.0	41297	702113	known_strain
Otu576	2	120576	known_strain
Otu1004	2	386487	known_strain
Otu1000	2	324767	known_strain
Otu395	2	40269	new_strain
Otu218	2	1541959	known_strain
Otu747	2	1346	known_strain
Otu961	2	1206	known_strain
Otu211	2	1129	known_strain
Otu966	2	744985	known_strain
Otu965	2	511678	new_species
Otu199.0	246874	253245	known_strain
Otu960.0	49546	57029	known_strain
Otu1723	2	502682	known_strain
Otu1722	2	56812	known_strain
Otu696	2	1386	known_strain
Otu53.0	1484898	1384459	known_strain
Otu214.0	1471399	1168034	known_strain
Otu1062.0	49546	669041	new_strain
Otu364	2157	673860	known_strain
Otu610	2	359303	known_strain
Otu368	2	662	known_strain
Otu132	2	914150	known_strain
Otu136	2	40269	new_strain
Otu139	2	645	new_strain
Otu203	2	316	known_strain
Otu846.0	194924	876	known_strain
Otu10	2	662	known_strain
Otu11	2157	54248	known_strain
Otu1263	2	62322	new_strain
Otu2438	2157	46770	known_strain
Otu968.0	72275	314275	known_strain
Otu47.0	41295	1263979	known_strain
Otu1264	2	29486	known_strain
Otu399.0	135616	1238	known_strain
Otu1466	2	285091	known_strain
Otu1460	2157	1480675	known_strain
Otu235.0	72275	2742	known_strain
Otu2087	2	80852	new_strain
Otu625	2	309805	known_strain
Otu638.0	31989	60136	new_species
Otu497.0	49546	104267	new_species
Otu497.1	49546	96345	known_strain
Otu1082	2	1219	known_strain
Otu180	2	316278	known_strain
Otu842.0	49546	104267	new_species
RNODE_343_length_2376_cov_8.77188	32644	32644	unknown
RNODE_146_length_5606_cov_4.42067	45202	45202	plasmid
RNODE_234_length_1595_cov_9.13223	45202	45202	plasmid
RNODE_372_length_2448_cov_3.45466	45202	45202	plasmid
RNODE_109_length_1521_cov_3.43229	45202	45202	plasmid
RNODE_74_length_1811_cov_7.67971	45202	45202	plasmid
RNODE_125_length_3363_cov_4.82640	45202	45202	plasmid
RNODE_254_length_2341_cov_33.31005	45202	45202	plasmid
RNODE_528_length_4221_cov_4.74329	32644	32644	unknown
RNODE_171_length_3474_cov_9.39716	45202	45202	plasmid
RNODE_314_length_6164_cov_50.81211	32644	32644	unknown
RNODE_411_length_4317_cov_4.49267	45202	45202	plasmid
RNODE_431_length_1803_cov_5.36772	32644	32644	unknown
RNODE_14_length_1961_cov_5.54358	32644	32644	unknown
RNODE_451_length_4052_cov_6.62773	1214906	1214906	virus
RNODE_559_length_3361_cov_13.97064	45202	45202	plasmid
RNODE_534_length_10183_cov_8.47628	45202	45202	plasmid
RNODE_56_length_2028_cov_4.74177	45202	45202	plasmid
RNODE_227_length_4381_cov_5.48337	45202	45202	plasmid
RNODE_496_length_8599_cov_9.53327	45202	45202	plasmid
RNODE_24_length_2639_cov_14.02331	32644	32644	unknown
RNODE_322_length_4175_cov_18.22923	45202	45202	plasmid
RNODE_32_length_11742_cov_6.79514	45202	45202	plasmid
RNODE_60_length_1811_cov_3.41811	32644	32644	unknown
RNODE_404_length_3462_cov_2.92616	32644	32644	unknown
RNODE_220_length_2011_cov_9.40825	45202	45202	plasmid
RNODE_562_length_2033_cov_5.34232	45202	45202	plasmid
RNODE_54_length_5865_cov_60.48297	45202	45202	plasmid
RNODE_294_length_6942_cov_7.24595	32644	32644	unknown
RNODE_133_length_1956_cov_5.95398	45202	45202	plasmid
RNODE_224_length_2083_cov_4.45463	32644	32644	unknown
